@RELATION special_immunology

@ATTRIBUTE "LMB_CODE" STRING 
@ATTRIBUTE "TEST_CODE" STRING 
@ATTRIBUTE "SPECIMEN_CODE" STRING 
@ATTRIBUTE "HOSPITAL_CODE" STRING 
@ATTRIBUTE "TV_FLAG"  {Y,N}
@ATTRIBUTE "ALBUMIN"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA 1"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA 2"  {DE,NM,SI,IN}
@ATTRIBUTE "BETA"  {DE,NM,SI,IN}
@ATTRIBUTE "GAMMA"  {DE,NM,SI,IN}
@ATTRIBUTE "Total Protein"  {DE,NM,SI,IN}
@ATTRIBUTE "Liver"  {DE,NM,SI,IN}
@ATTRIBUTE "Bone"  {DE,NM,SI,IN}
@ATTRIBUTE "Macrohepatic"  {DE,NM,SI,IN}
@ATTRIBUTE "Intestine"  {DE,NM,SI,IN}
@ATTRIBUTE "Total ALP"  {DE,NM,SI,IN}
@ATTRIBUTE "MM"  {DE,NM,SI,IN}
@ATTRIBUTE "MB"  {DE,NM,SI,IN}
@ATTRIBUTE "BB"  {DE,NM,SI,IN}
@ATTRIBUTE "Total CK"  {DE,NM,SI,IN}
@ATTRIBUTE "LD1"  {DE,NM,SI,IN}
@ATTRIBUTE "LD2"  {DE,NM,SI,IN}
@ATTRIBUTE "LD3"  {DE,NM,SI,IN}
@ATTRIBUTE "LD4"  {DE,NM,SI,IN}
@ATTRIBUTE "LD5"  {DE,NM,SI,IN}
@ATTRIBUTE "Total LDH"  {DE,NM,SI,IN}
@ATTRIBUTE "LD1/LD2"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA"  {DE,NM,SI,IN}
@ATTRIBUTE "Pre-Beta"  {DE,NM,SI,IN}
@ATTRIBUTE "Beta"  {DE,NM,SI,IN}
@ATTRIBUTE "Chylomicron"  {DE,NM,SI,IN}
@ATTRIBUTE "Cholesterol"  {DE,NM,SI,IN}
@ATTRIBUTE "Triglyceride"  {DE,NM,SI,IN}
@ATTRIBUTE "rdr_class" STRING 

@DATA
0000,00309,?,?,?,?,NM,NM,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP001
0000,00309,?,?,?,?,SI,NM,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP002
0000,00309,?,?,?,?,IN,NM,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP003
0000,00309,?,?,?,?,NM,SI,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP004
0000,00309,?,?,?,?,NM,IN,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP005
0000,00309,?,?,?,?,NM,NM,SI,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP006
0000,00309,?,?,?,?,NM,NM,IN,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP007
0000,00309,?,?,?,?,NM,NM,NM,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP008
0000,00309,?,?,?,?,NM,NM,NM,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP009
0000,00309,?,?,?,?,SI,SI,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP010
0000,00309,?,?,?,?,IN,IN,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP011
0000,00309,?,?,?,?,SI,IN,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP011
0000,00309,?,?,?,?,IN,SI,NM,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP011
0000,00309,?,?,?,?,SI,NM,SI,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP014
