소견,LMB_CODE,TEST_CODE,TV_FLAG,ALBUMIN,ALPHA 1,ALPHA 2,BETA,GAMMA,Total Protein,Liver,Bone,Intestine,Total ALP,MM,MB,BB,Total CK,LD1,LD2,LD3,LD4,LD5,Total LDH,LD1/LD2,ALPHA,Pre-Beta,Beta,Chylomicron,Cholesterol,Triglyceride
no rule for this testCode,0000,00309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEP001,0000,00309,,,NM,NM,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP002,0000,00309,,,SI,NM,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP003,0000,00309,,,IN,NM,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP004,0000,00309,,,NM,SI,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP005,0000,00309,,,NM,IN,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP006,0000,00309,,,NM,NM,SI,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP007,0000,00309,,,NM,NM,IN,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP008,0000,00309,,,NM,NM,NM,SI,NM,,,,,,,,,,,,,,,,,,,,,
SPEP009,0000,00309,,,NM,NM,NM,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP010,0000,00309,,,SI,SI,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP011,0000,00309,,,IN,IN,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP011,0000,00309,,,SI,IN,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP011,0000,00309,,,IN,SI,NM,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP014,0000,00309,,,SI,NM,SI,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP015,0000,00309,,,IN,NM,IN,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP015,0000,00309,,,SI,NM,IN,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP015,0000,00309,,,IN,NM,SI,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP018,0000,00309,,,SI,NM,NM,SI,NM,,,,,,,,,,,,,,,,,,,,,
SPEP019,0000,00309,,,IN,NM,NM,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP019,0000,00309,,,SI,NM,NM,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP019,0000,00309,,,IN,NM,NM,SI,NM,,,,,,,,,,,,,,,,,,,,,
SPEP022,0000,00309,,,NM,SI,SI,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP023,0000,00309,,,NM,IN,IN,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP023,0000,00309,,,NM,SI,IN,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP023,0000,00309,,,NM,IN,SI,NM,NM,,,,,,,,,,,,,,,,,,,,,
SPEP026,0000,00309,,,NM,SI,NM,SI,NM,,,,,,,,,,,,,,,,,,,,,
SPEP027,0000,00309,,,NM,IN,NM,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP027,0000,00309,,,NM,SI,NM,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP027,0000,00309,,,NM,IN,NM,SI,NM,,,,,,,,,,,,,,,,,,,,,
SPEP030,0000,00309,,,NM,NM,SI,SI,NM,,,,,,,,,,,,,,,,,,,,,
SPEP031,0000,00309,,,NM,NM,IN,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP031,0000,00309,,,NM,NM,SI,IN,NM,,,,,,,,,,,,,,,,,,,,,
SPEP031,0000,00309,,,NM,NM,IN,SI,NM,,,,,,,,,,,,,,,,,,,,,
